                                 Open        High         Low       Close  \
Datetime                                                                    
2024-10-17 04:18:00+01:00  172.585007  172.585999  172.561005  172.572006   
2024-10-17 04:19:00+01:00  172.578995  172.580002  172.557999  172.567993   
2024-10-17 04:20:00+01:00  172.574997  172.578995  172.565994  172.570999   
2024-10-17 04:21:00+01:00  172.565002  172.572006  172.546997  172.569000   
2024-10-17 04:22:00+01:00  172.567993  172.572998  172.548996  172.557007   
2024-10-17 04:23:00+01:00  172.561996  172.582993  172.556000  172.572998   
2024-10-17 04:24:00+01:00  172.569000  172.589996  172.561996  172.578003   
2024-10-17 04:25:00+01:00  172.578003  172.598999  172.570007  172.576004   
2024-10-17 04:26:00+01:00  172.578003  172.589996  172.556000  172.584000   
2024-10-17 04:27:00+01:00  172.584000  172.593994  172.563004  172.570007   
2024-10-17 04:28:00+01:00  172.563995  172.574997  172.546997  172.559998   
2024-10-17 04:29:00+01:00  172.556000  172.570999  172.544998  172.556000   
2024-10-17 04:30:00+01:00  172.559998  172.582001  172.546997  172.580002   
2024-10-17 04:31:00+01:00  172.574997  172.619003  172.574005  172.589005   
2024-10-17 04:32:00+01:00  172.595001  172.610992  172.576004  172.598999   
2024-10-17 04:33:00+01:00  172.600006  172.604004  172.570999  172.584000   
2024-10-17 04:34:00+01:00  172.584000  172.589005  172.563995  172.582993   
2024-10-17 04:35:00+01:00  172.576004  172.587997  172.565002  172.576996   
2024-10-17 04:36:00+01:00  172.572998  172.595993  172.567993  172.589996   
2024-10-17 04:37:00+01:00  172.589996  172.604996  172.576996  172.591003   
2024-10-17 04:38:00+01:00  172.587997  172.602005  172.580994  172.597000   
2024-10-17 04:39:00+01:00  172.589005  172.602005  172.561005  172.591003   
2024-10-17 04:40:00+01:00  172.591995  172.630997  172.576996  172.610992   
2024-10-17 04:41:00+01:00  172.608002  172.626007  172.602005  172.613007   
2024-10-17 04:42:00+01:00  172.619003  172.634995  172.610992  172.626999   
2024-10-17 04:43:00+01:00  172.621994  172.628998  172.606003  172.615005   
2024-10-17 04:44:00+01:00  172.617004  172.630005  172.602005  172.619003   
2024-10-17 04:45:00+01:00  172.619003  172.641006  172.617996  172.626007   
2024-10-17 04:46:00+01:00  172.623993  172.643005  172.619995  172.632996   
2024-10-17 04:47:00+01:00  172.634003  172.647995  172.623993  172.639008   
2024-10-17 04:48:00+01:00  172.641006  172.645004  172.623001  172.630997   
2024-10-17 04:49:00+01:00  172.630005  172.649994  172.628006  172.639999   
2024-10-17 04:50:00+01:00  172.647995  172.649994  172.626999  172.638000   
2024-10-17 04:51:00+01:00  172.639008  172.649002  172.621994  172.636002   
2024-10-17 04:52:00+01:00  172.632996  172.645004  172.604996  172.613998   
2024-10-17 04:53:00+01:00  172.617996  172.647003  172.613998  172.643005   
2024-10-17 04:54:00+01:00  172.634995  172.653000  172.623001  172.623001   
2024-10-17 04:55:00+01:00  172.623993  172.651001  172.623993  172.643997   
2024-10-17 04:56:00+01:00  172.645004  172.679993  172.639999  172.667007   
2024-10-17 04:57:00+01:00  172.666000  172.677994  172.654999  172.660004   
2024-10-17 04:58:00+01:00  172.656998  172.677002  172.651993  172.656006   
2024-10-17 04:59:00+01:00  172.658997  172.669006  172.651001  172.669006   
2024-10-17 05:00:00+01:00  172.669006  172.675003  172.649994  172.658005   
2024-10-17 05:01:00+01:00  172.654007  172.673004  172.651001  172.660995   
2024-10-17 05:02:00+01:00  172.666000  172.675003  172.654999  172.658005   
2024-10-17 05:03:00+01:00  172.660004  172.669006  172.639999  172.656998   
2024-10-17 05:04:00+01:00  172.654999  172.658997  172.626007  172.643005   
2024-10-17 05:05:00+01:00  172.641998  172.673996  172.632996  172.641998   
2024-10-17 05:06:00+01:00  172.645004  172.662994  172.639008  172.649994   
2024-10-17 05:07:00+01:00  172.647995  172.660995  172.639008  172.643997   
2024-10-17 05:08:00+01:00  172.649002  172.658005  172.630997  172.634995   
2024-10-17 05:09:00+01:00  172.630997  172.673004  172.626999  172.667999   
2024-10-17 05:10:00+01:00  172.654999  172.679993  172.651001  172.654007   
2024-10-17 05:11:00+01:00  172.658005  172.667007  172.641006  172.645996   
2024-10-17 05:12:00+01:00  172.656006  172.658997  172.632004  172.641006   
2024-10-17 05:13:00+01:00  172.643005  172.653000  172.634003  172.636002   
2024-10-17 05:14:00+01:00  172.645996  172.656006  172.634003  172.645996   
2024-10-17 05:15:00+01:00  172.651001  172.653000  172.628006  172.638000   
2024-10-17 05:16:00+01:00  172.641006  172.645996  172.630005  172.639999   
2024-10-17 05:17:00+01:00  172.636993  172.643997  172.608002  172.610992   
2024-10-17 05:18:00+01:00  172.608994  172.617996  172.598007  172.606995   
2024-10-17 05:19:00+01:00  172.608994  172.621994  172.593002  172.615997   
2024-10-17 05:20:00+01:00  172.604996  172.619003  172.593002  172.604996   
2024-10-17 05:21:00+01:00  172.613007  172.617004  172.591995  172.604996   
2024-10-17 05:22:00+01:00  172.598007  172.606995  172.587006  172.604004   
2024-10-17 05:23:00+01:00  172.606003  172.613007  172.587997  172.587997   
2024-10-17 05:24:00+01:00  172.595993  172.598999  172.567993  172.589996   
2024-10-17 05:25:00+01:00  172.580002  172.593994  172.570007  172.572006   
2024-10-17 05:26:00+01:00  172.582993  172.584000  172.559006  172.563004   
2024-10-17 05:27:00+01:00  172.572006  172.580002  172.567001  172.570007   
2024-10-17 05:28:00+01:00  172.572006  172.576004  172.542999  172.552994   
